hashtag,outlier_tweets,sample_latest_tweets,sample_supported,comparison,outlier_like_delta_sum,outlier_views_delta_sum,note
#ファミマのシューで45周年お祝い,6,9,True,both,67853,6007879,Lexical hashtag overlap only; not a verified semantic event or external cause.
#f1,3,70,True,both,105296,2993030,Lexical hashtag overlap only; not a verified semantic event or external cause.
#vivant,3,45,True,both,35851,25862539,Lexical hashtag overlap only; not a verified semantic event or external cause.
#riize,3,26,True,both,152,80261,Lexical hashtag overlap only; not a verified semantic event or external cause.
#italiangp,3,8,True,both,105296,2993030,Lexical hashtag overlap only; not a verified semantic event or external cause.
#honestidadyresultados,3,2,True,both,501,1790498,Lexical hashtag overlap only; not a verified semantic event or external cause.
#filenow,3,0,False,outlier_only,-1510,98277,Lexical hashtag overlap only; not a verified semantic event or external cause.
#itr,3,0,False,outlier_only,-1510,98277,Lexical hashtag overlap only; not a verified semantic event or external cause.
#taxfiling,3,0,False,outlier_only,-1510,98277,Lexical hashtag overlap only; not a verified semantic event or external cause.
#위버스샵,3,0,False,outlier_only,0,77387,Lexical hashtag overlap only; not a verified semantic event or external cause.
#映画ちいかわ,2,51,True,both,8457,11079821,Lexical hashtag overlap only; not a verified semantic event or external cause.
#seventeen,2,49,True,both,29873,716069,Lexical hashtag overlap only; not a verified semantic event or external cause.
#세븐틴,2,46,True,both,29873,716069,Lexical hashtag overlap only; not a verified semantic event or external cause.
#刀剣乱舞,2,35,True,both,0,0,Lexical hashtag overlap only; not a verified semantic event or external cause.
#とうらぶ,2,25,True,both,0,0,Lexical hashtag overlap only; not a verified semantic event or external cause.
#라이즈,2,23,True,both,83,34306,Lexical hashtag overlap only; not a verified semantic event or external cause.
#fc27,2,12,True,both,9953,10979547,Lexical hashtag overlap only; not a verified semantic event or external cause.
#football,2,11,True,both,2,50450,Lexical hashtag overlap only; not a verified semantic event or external cause.
#mw4,2,11,True,both,0,31879,Lexical hashtag overlap only; not a verified semantic event or external cause.
#mcountdown,2,9,True,both,0,38109,Lexical hashtag overlap only; not a verified semantic event or external cause.
#엠카운트다운,2,9,True,both,0,38109,Lexical hashtag overlap only; not a verified semantic event or external cause.
#nepalflood,2,8,True,both,109,286436,Lexical hashtag overlap only; not a verified semantic event or external cause.
#mancity,2,7,True,both,9953,10979547,Lexical hashtag overlap only; not a verified semantic event or external cause.
#원빈,2,7,True,both,83,34306,Lexical hashtag overlap only; not a verified semantic event or external cause.
#amdvts,2,5,True,both,264,121935,Lexical hashtag overlap only; not a verified semantic event or external cause.
#berlin,2,5,True,both,-1913,100545,Lexical hashtag overlap only; not a verified semantic event or external cause.
#vivantep16,2,5,True,both,33478,24881799,Lexical hashtag overlap only; not a verified semantic event or external cause.
#wonbin,2,5,True,both,83,34306,Lexical hashtag overlap only; not a verified semantic event or external cause.
#غزة,2,5,True,both,63,15977,Lexical hashtag overlap only; not a verified semantic event or external cause.
#名古屋,2,5,True,both,30876,30480470,Lexical hashtag overlap only; not a verified semantic event or external cause.
#冠水,2,1,True,both,6185,9997049,Lexical hashtag overlap only; not a verified semantic event or external cause.
#박건욱,2,1,True,both,0,38109,Lexical hashtag overlap only; not a verified semantic event or external cause.
#월간엠카,2,1,True,both,0,38109,Lexical hashtag overlap only; not a verified semantic event or external cause.
#월간엠카_8월호,2,1,True,both,0,38109,Lexical hashtag overlap only; not a verified semantic event or external cause.
#hype_me,2,0,False,outlier_only,0,7422,Lexical hashtag overlap only; not a verified semantic event or external cause.
#icaiat78,2,0,False,outlier_only,8,2696,Lexical hashtag overlap only; not a verified semantic event or external cause.
#offandrelaxxwonbin,2,0,False,outlier_only,83,34306,Lexical hashtag overlap only; not a verified semantic event or external cause.
#offして艶めく,2,0,False,outlier_only,83,34306,Lexical hashtag overlap only; not a verified semantic event or external cause.
#pb,2,0,False,outlier_only,2,256,Lexical hashtag overlap only; not a verified semantic event or external cause.
#تلفزيون_دبي,2,0,False,outlier_only,2,178,Lexical hashtag overlap only; not a verified semantic event or external cause.
#にじさんじxアニメイトshop,2,0,False,outlier_only,0,80125,Lexical hashtag overlap only; not a verified semantic event or external cause.
#対百鬼夜行,2,0,False,outlier_only,0,0,Lexical hashtag overlap only; not a verified semantic event or external cause.
#板野友美,2,0,False,outlier_only,1988,8837327,Lexical hashtag overlap only; not a verified semantic event or external cause.
#ブルアカ,1,108,True,both,0,28996,Lexical hashtag overlap only; not a verified semantic event or external cause.
#straykids,1,92,True,both,7510,2719713,Lexical hashtag overlap only; not a verified semantic event or external cause.
#bts_worldtour_arirang,1,71,True,both,0,0,Lexical hashtag overlap only; not a verified semantic event or external cause.
#วอลเลย,1,67,True,both,14203,604075,Lexical hashtag overlap only; not a verified semantic event or external cause.
#ateez,1,62,True,both,1,277,Lexical hashtag overlap only; not a verified semantic event or external cause.
#マシュマロを投げ合おう,1,59,True,both,0,-269,Lexical hashtag overlap only; not a verified semantic event or external cause.
#shorts,1,55,True,both,0,34807,Lexical hashtag overlap only; not a verified semantic event or external cause.
#ucl,1,52,True,both,69144,16925892,Lexical hashtag overlap only; not a verified semantic event or external cause.
#jungkook,1,49,True,both,70756,1601130,Lexical hashtag overlap only; not a verified semantic event or external cause.
#에이티즈,1,49,True,both,1,277,Lexical hashtag overlap only; not a verified semantic event or external cause.
#fgo,1,47,True,both,1464,3527743,Lexical hashtag overlap only; not a verified semantic event or external cause.
#youmaniacseriesep1,1,47,True,both,188,5431,Lexical hashtag overlap only; not a verified semantic event or external cause.
#엔하이픈,1,44,True,both,0,30527,Lexical hashtag overlap only; not a verified semantic event or external cause.
#lisa,1,43,True,both,42853,2890905,Lexical hashtag overlap only; not a verified semantic event or external cause.
#befirst,1,41,True,both,6100,83555,Lexical hashtag overlap only; not a verified semantic event or external cause.
#pokemon,1,40,True,both,355,280340,Lexical hashtag overlap only; not a verified semantic event or external cause.
#bitcoin,1,37,True,both,144,1099,Lexical hashtag overlap only; not a verified semantic event or external cause.
#歌ってみた,1,36,True,both,7,-924,Lexical hashtag overlap only; not a verified semantic event or external cause.
#fortnite,1,35,True,both,0,30188,Lexical hashtag overlap only; not a verified semantic event or external cause.
#ส,1,35,True,both,7311,517402,Lexical hashtag overlap only; not a verified semantic event or external cause.
#happyjkday,1,33,True,both,70756,1601130,Lexical hashtag overlap only; not a verified semantic event or external cause.
#まどかマギカ,1,33,True,both,87863,5476703,Lexical hashtag overlap only; not a verified semantic event or external cause.
#정국,1,33,True,both,70756,1601130,Lexical hashtag overlap only; not a verified semantic event or external cause.
#nepal,1,32,True,both,4,16078,Lexical hashtag overlap only; not a verified semantic event or external cause.
#sbhawks,1,32,True,both,13025,492153,Lexical hashtag overlap only; not a verified semantic event or external cause.
#新人vtuber,1,32,True,both,7,-924,Lexical hashtag overlap only; not a verified semantic event or external cause.
#snowman,1,30,True,both,0,37932,Lexical hashtag overlap only; not a verified semantic event or external cause.
#النصر,1,28,True,both,76,68884,Lexical hashtag overlap only; not a verified semantic event or external cause.
#ebidan,1,27,True,both,0,0,Lexical hashtag overlap only; not a verified semantic event or external cause.
#ff14ss,1,27,True,both,0,0,Lexical hashtag overlap only; not a verified semantic event or external cause.
#fyp,1,27,True,both,0,203,Lexical hashtag overlap only; not a verified semantic event or external cause.
#treasure,1,27,True,both,0,19005,Lexical hashtag overlap only; not a verified semantic event or external cause.
#s,1,26,True,both,0,25448,Lexical hashtag overlap only; not a verified semantic event or external cause.
#ucldraw,1,26,True,both,-252,103125,Lexical hashtag overlap only; not a verified semantic event or external cause.
#suga,1,25,True,both,0,0,Lexical hashtag overlap only; not a verified semantic event or external cause.
#rdc,1,24,True,both,4,66633,Lexical hashtag overlap only; not a verified semantic event or external cause.
#zerobaseone,1,24,True,both,0,19104,Lexical hashtag overlap only; not a verified semantic event or external cause.
#limbuscompany,1,21,True,both,2909,166930,Lexical hashtag overlap only; not a verified semantic event or external cause.
#viral,1,21,True,both,0,203,Lexical hashtag overlap only; not a verified semantic event or external cause.
#sawadika,1,20,True,both,42853,2890905,Lexical hashtag overlap only; not a verified semantic event or external cause.
#secretstory,1,18,True,both,0,-2,Lexical hashtag overlap only; not a verified semantic event or external cause.
#ポケモン,1,18,True,both,355,280340,Lexical hashtag overlap only; not a verified semantic event or external cause.
#cdtvライブライブ,1,17,True,both,6268,20706492,Lexical hashtag overlap only; not a verified semantic event or external cause.
#الاتحاد,1,17,True,both,0,15250,Lexical hashtag overlap only; not a verified semantic event or external cause.
#fypシ,1,16,True,both,-153,72,Lexical hashtag overlap only; not a verified semantic event or external cause.
#lisa_sawadika,1,16,True,both,42853,2890905,Lexical hashtag overlap only; not a verified semantic event or external cause.
#transformers,1,16,True,both,82,14946,Lexical hashtag overlap only; not a verified semantic event or external cause.
#wooyoung,1,16,True,both,1,277,Lexical hashtag overlap only; not a verified semantic event or external cause.
#genshin,1,15,True,both,64300,9211641,Lexical hashtag overlap only; not a verified semantic event or external cause.
#afc,1,14,True,both,-79,1793805,Lexical hashtag overlap only; not a verified semantic event or external cause.
#arknightsendfield,1,13,True,both,0,0,Lexical hashtag overlap only; not a verified semantic event or external cause.
#mcfc,1,13,True,both,92204,27448299,Lexical hashtag overlap only; not a verified semantic event or external cause.
#الاهلي,1,13,True,both,472,509364,Lexical hashtag overlap only; not a verified semantic event or external cause.
#参政党,1,13,True,both,23,3110,Lexical hashtag overlap only; not a verified semantic event or external cause.
#8月のvtuberフォロー祭り,1,12,True,both,15,2966,Lexical hashtag overlap only; not a verified semantic event or external cause.
#indiedev,1,12,True,both,82,14946,Lexical hashtag overlap only; not a verified semantic event or external cause.
#앤팀,1,12,True,both,0,25409,Lexical hashtag overlap only; not a verified semantic event or external cause.
#3skm_1stライブ,1,11,True,both,0,40890,Lexical hashtag overlap only; not a verified semantic event or external cause.
#skel,1,11,True,both,-17,3829,Lexical hashtag overlap only; not a verified semantic event or external cause.
#travisjapan,1,11,True,both,112,5687,Lexical hashtag overlap only; not a verified semantic event or external cause.
#우영,1,11,True,both,1,277,Lexical hashtag overlap only; not a verified semantic event or external cause.
#funny,1,10,True,both,0,203,Lexical hashtag overlap only; not a verified semantic event or external cause.
#iwillalwayssaveyou,1,10,True,both,5605,94692,Lexical hashtag overlap only; not a verified semantic event or external cause.
#muvmuv,1,10,True,both,24,6755,Lexical hashtag overlap only; not a verified semantic event or external cause.
#創作,1,10,True,both,-727,928,Lexical hashtag overlap only; not a verified semantic event or external cause.
#소정환,1,10,True,both,0,19005,Lexical hashtag overlap only; not a verified semantic event or external cause.
#北海道,1,9,True,both,1519,4427242,Lexical hashtag overlap only; not a verified semantic event or external cause.
#30ağustos,1,8,True,both,-477,1641,Lexical hashtag overlap only; not a verified semantic event or external cause.
#kbooks,1,8,True,both,0,0,Lexical hashtag overlap only; not a verified semantic event or external cause.
#ちいかわマーケット,1,8,True,both,-57,870364,Lexical hashtag overlap only; not a verified semantic event or external cause.
#lcb,1,7,True,both,2909,166930,Lexical hashtag overlap only; not a verified semantic event or external cause.
#nba2k27,1,7,True,both,0,34602,Lexical hashtag overlap only; not a verified semantic event or external cause.
#riseandrealize,1,7,True,both,69,45955,Lexical hashtag overlap only; not a verified semantic event or external cause.
#きゃんちゅー,1,7,True,both,6268,20706492,Lexical hashtag overlap only; not a verified semantic event or external cause.
#佐野勇斗,1,7,True,both,0,0,Lexical hashtag overlap only; not a verified semantic event or external cause.
#踊ってみた,1,7,True,both,0,34807,Lexical hashtag overlap only; not a verified semantic event or external cause.
#아일릿,1,7,True,both,0,21451,Lexical hashtag overlap only; not a verified semantic event or external cause.
#24時間テレビで感動したシーン,1,6,True,both,3152,3318262,Lexical hashtag overlap only; not a verified semantic event or external cause.
#emmys,1,6,True,both,21817,18113513,Lexical hashtag overlap only; not a verified semantic event or external cause.
#mazidenatiye,1,6,True,both,11,933,Lexical hashtag overlap only; not a verified semantic event or external cause.
#العراق,1,6,True,both,0,125,Lexical hashtag overlap only; not a verified semantic event or external cause.
#النصر_التعاون,1,6,True,both,-18,1022,Lexical hashtag overlap only; not a verified semantic event or external cause.
#ツイステ,1,6,True,both,13466,1728098,Lexical hashtag overlap only; not a verified semantic event or external cause.
#원우,1,6,True,both,8488,168781,Lexical hashtag overlap only; not a verified semantic event or external cause.
#bhafc,1,5,True,both,0,2952,Lexical hashtag overlap only; not a verified semantic event or external cause.
#comedy,1,5,True,both,0,203,Lexical hashtag overlap only; not a verified semantic event or external cause.
#inkaela,1,5,True,both,30,5395,Lexical hashtag overlap only; not a verified semantic event or external cause.
#lol,1,5,True,both,0,203,Lexical hashtag overlap only; not a verified semantic event or external cause.
#wonwoo,1,5,True,both,8488,168781,Lexical hashtag overlap only; not a verified semantic event or external cause.
#ケンタが食べたい食べさせたい,1,5,True,both,12110,2667497,Lexical hashtag overlap only; not a verified semantic event or external cause.
#ディズニー,1,5,True,both,13466,1728098,Lexical hashtag overlap only; not a verified semantic event or external cause.
#歌い手さんmix師さん絵師さん動画師さんとpさん繋がりたい,1,5,True,both,7,-924,Lexical hashtag overlap only; not a verified semantic event or external cause.
