keyword,kind,origin,pattern,case_sensitive,tweets,authors,likes,views,english_share,ai_context_share,estimated_precision,peak_day,peak_share_per_100k,peak_lift,verdict,reason,top_posts
AI,concept,seeded,\bAI\b,True,907293,355499,82219725,9269623917,0.4561,0.0629,0.95,2026-09-10,1137.6021,1.76,use,"907k originals, the single largest AI signal; 38/40 no-context samples are about AI in 9 languages.","[{""id"": ""2098236553457807610"", ""day"": ""2026-09-11"", ""likes"": 349918, ""excerpt"": ""we do not appreciate how lucky we are that this video existed before AI was invented. one of the few organic cat memes that remain""}, {""id"": ""2099518798931824679"", ""day"": ""2026-09-14"", ""likes"": 349307, ""excerpt"": ""Mom asked me if I “think AI could kill us?” Told her they made a movie abt it called “Avengers: Age of Ultron”. She proceeds to say “that would lead to our doom""}, {""id"": ""2090853972735390073"", ""day"": ""2026-08-21"", ""likes"": 336953, ""excerpt"": ""this is AI, I never did that""}]"
Character,company,seeded,\bcharacters?\b,False,233169,148147,51100067,2335656523,0.9613,0.012,0.01,2026-09-02,204.6928,1.26,drop,"233,169 originals and 0/40 sampled are Character.AI - the second-largest term in the study and almost pure noise.","[{""id"": ""2100071560367472956"", ""day"": ""2026-09-16"", ""likes"": 466380, ""excerpt"": ""Stop treating serial killers like MCU characters u fucking weirdos""}, {""id"": ""2092981549775946108"", ""day"": ""2026-08-27"", ""likes"": 298144, ""excerpt"": ""Peter Cullen has sadly passed away at the age of 85.\n\nHe is the iconic voice of many characters, including Optimus Prime. https://t.co/HS9MRZ4mq6""}, {""id"": ""2089156218694607186"", ""day"": ""2026-08-17"", ""likes"": 282541, ""excerpt"": ""honestly a goat using his oversized horns as a rocking chair is genuinely peak character design""}]"
Grok,product,seeded,\bgrok\b,False,188012,96223,15550521,3991560366,0.6282,0.082,0.98,2026-09-14,172.8516,1.4,use,"188,012 originals - the 2nd-largest AI term; 39/40 sampled.","[{""id"": ""2095036834417971396"", ""day"": ""2026-09-02"", ""likes"": 175867, ""excerpt"": ""\""Why dont you ask chatgpt\"" \""why dont you ask grok\"" mf I will go into a dark room with a mirror and chant bloody mary and ask her before I ask ai a mf thing""}, {""id"": ""2093510730142126448"", ""day"": ""2026-08-29"", ""likes"": 156155, ""excerpt"": ""@billieeilish @grok please roast Eilish’s hypocrisy in hating on capitalism and “stolen land” while selling perfume and living in luxury on that same land""}, {""id"": ""2090546861073449189"", ""day"": ""2026-08-20"", ""likes"": 100851, ""excerpt"": ""One day, Optimus + Grok will provide incredible medical care to all the people of Earth""}]"
Sol,product,discovered,\bsol\b,False,146760,77600,20991466,1089954119,0.3675,0.0253,0.07,2026-09-01,185.3236,1.82,drop,"DISCOVERED but unusable: 146,760 originals and 2/40 sampled are the model.","[{""id"": ""2098784704698687779"", ""day"": ""2026-09-12"", ""likes"": 208233, ""excerpt"": ""El próximo septiembre de 2027 a esta hora exacta, estarás de pie en los lugares en los que solías soñar. Viviendo tu vida más hermosa y rica. Envíate esto a ti ""}, {""id"": ""2094134771848741104"", ""day"": ""2026-08-30"", ""likes"": 177351, ""excerpt"": ""Désolé mais pour moi c'est juste de la maltraitance animale""}, {""id"": ""2099336864305959423"", ""day"": ""2026-09-14"", ""likes"": 145074, ""excerpt"": ""imagina vir de um país que nem faz sol e saber dançar assim https://t.co/2SK03pjMJ2""}]"
Claude,product,seeded,\bclaude\b,False,83799,43107,6431620,1057613622,0.5265,0.3244,0.98,2026-09-03,171.7545,2.85,use,"83,799 originals, 39/40 sampled; 4th-largest AI term after AI/Grok/ChatGPT.","[{""id"": ""2095692096678064221"", ""day"": ""2026-09-04"", ""likes"": 94798, ""excerpt"": ""Claude has achieved PhD-level intelligence""}, {""id"": ""2094848572143407483"", ""day"": ""2026-09-01"", ""likes"": 65680, ""excerpt"": ""We’re introducing Claude Fable 5.1 and Claude Mythos 5.1.\n\nThey're the world’s most advanced models for coding and knowledge work. https://t.co/8P9PSrWPi3""}, {""id"": ""2090793797353722182"", ""day"": ""2026-08-21"", ""likes"": 58632, ""excerpt"": ""i'm the API between claude and my manager""}]"
Figure,company,seeded,\bfigure\b,False,71992,59142,10760519,730275036,0.9152,0.0241,0.02,2026-09-02,88.6637,1.76,drop,"71,992 originals, 0/40 sampled are the robotics company.","[{""id"": ""2098478034009661812"", ""day"": ""2026-09-11"", ""likes"": 192914, ""excerpt"": ""Had a memory from high school of not wanting to learn how to edit/figure out the timing to do a split screen, so we just put up black tape in the middle of a ro""}, {""id"": ""2100197221203358131"", ""day"": ""2026-09-16"", ""likes"": 164308, ""excerpt"": ""for my anorexia recovery, i went to a cafe and ordered a cookie and an old man immediately came up to me and said “you don’t wanna eat that you will ruin your p""}, {""id"": ""2096751875592749392"", ""day"": ""2026-09-07"", ""likes"": 158786, ""excerpt"": ""wait till u find out it was always designed to, it was an intentional choice for the betterment of children.. \npeople used to care about kids and their developm""}]"
IA,concept,seeded,\bIA\b,True,70009,44209,13082003,732952048,0.0311,0.0761,0.89,2026-09-09,131.2797,2.66,use,"70,009 originals and only 3% English - the dominant AI word in Spanish/Portuguese/French/Italian; 35/40 sampled.","[{""id"": ""2090477921164988565"", ""day"": ""2026-08-20"", ""likes"": 267662, ""excerpt"": ""Antes de que existiera la IA así se hacía,""}, {""id"": ""2094170217593086369"", ""day"": ""2026-08-30"", ""likes"": 194565, ""excerpt"": ""El pajero de hoy te hace una foto con IA de proporciones completamente incompatibles con la vida, el pajero de antes hacía todo anatomicamente correcto. Se perd""}, {""id"": ""2097028333137535138"", ""day"": ""2026-09-07"", ""likes"": 176085, ""excerpt"": ""El vídeo que me manda mi mamá preguntándome si es IA.""}]"
ChatGPT,product,seeded,\bchatgpt\b,False,69395,45387,10136451,1018675580,0.4269,0.2621,1.0,2026-09-03,139.2766,2.82,use,"69,395 originals, 40/40 sampled, 43% English - the most reliable single product name.","[{""id"": ""2090479681485082634"", ""day"": ""2026-08-20"", ""likes"": 318537, ""excerpt"": ""If you say “chat” to refer to ChatGPT and not your imaginary twitch stream chat, you’re a fucking loser lol""}, {""id"": ""2098727169400643626"", ""day"": ""2026-09-12"", ""likes"": 185024, ""excerpt"": ""Spent the entire summer tutoring my cousin for his programming exam, was told today he got reported for cheating with chatgpt  https://t.co/fjQecrbUPC""}, {""id"": ""2095036834417971396"", ""day"": ""2026-09-02"", ""likes"": 175867, ""excerpt"": ""\""Why dont you ask chatgpt\"" \""why dont you ask grok\"" mf I will go into a dark room with a mirror and chant bloody mary and ask her before I ask ai a mf thing""}]"
Veo,product,seeded,\bveo\b,False,54168,42285,7309032,291219309,0.0069,0.0038,0.03,2026-09-14,44.8866,1.28,drop,"54,168 originals, 1/40 sampled are Google's Veo; only 0.7% English.","[{""id"": ""2090030441503818041"", ""day"": ""2026-08-19"", ""likes"": 298666, ""excerpt"": ""Cada que veo este video siempre me impresiona lo fluido y bien recortado que está el ventilador.""}, {""id"": ""2099634900143882519"", ""day"": ""2026-09-14"", ""likes"": 184300, ""excerpt"": ""cada vez q veo este video no puedo parar de reír https://t.co/4lHdghgI0N""}, {""id"": ""2094840191613575380"", ""day"": ""2026-09-01"", ""likes"": 121300, ""excerpt"": ""cuando veo el historial de movimientos en mi tarjeta y todo cuadra, nadie me robó https://t.co/tZFIhOnWfT""}]"
AIイラスト,concept,discovered,AIイラスト,False,53927,5833,4143163,112282280,0.0315,0.9556,1.0,2026-08-23,39.0404,1.28,use,"DISCOVERED. 53,927 originals at 96% ai_context_share and 3% English - the largest AI-art community tag in the corpus, bigger than ChatGPT.","[{""id"": ""2093321676658541052"", ""day"": ""2026-08-28"", ""likes"": 183920, ""excerpt"": ""あんま「昔は良かった」って言葉言いたくないけどさぁ\n地元の祭りの屋台がAIイラストまみれになってたら流石に言っていいよな""}, {""id"": ""2091172644897144884"", ""day"": ""2026-08-22"", ""likes"": 35353, ""excerpt"": ""SFW illustration.\n#初音ミク #HatsuneMiku #miku #AIイラスト #Alart https://t.co/CDIWZJXugh""}, {""id"": ""2090338503041429622"", ""day"": ""2026-08-20"", ""likes"": 33073, ""excerpt"": ""AIイラスト論争見てると\n\nAIに作らせたと宣言しておいて実は後で全て人力で作っていたことがバレて炎上した淫夢界隈の異質さが際立つ""}]"
